	ID	Identifier	Title	ApiUrl	RecordCount	ColumnCount
4863	4863	84060ENG	Employees from abroad;resident/non-resident,demographic variables,2010-2017	https://opendata.cbs.nl/ODataApi/OData/84060ENG	19293120	7
4864	4864	82579ENG	Employment; economic activity, sex, national accounts,1969-2016	https://opendata.cbs.nl/ODataApi/OData/82579ENG	43200	8
4865	4865	82575ENG	Employment; economic activity, quarterly, national accounts, 1995-2018	https://opendata.cbs.nl/ODataApi/OData/82575ENG	5568	9
4866	4866	82578ENG	Compensation of employees, employment; economic activity, NA, 1969-2016	https://opendata.cbs.nl/ODataApi/OData/82578ENG	4800	38
4867	4867	82577ENG	Compensation of employees, employment; quarterly, NA, 1995-2018	https://opendata.cbs.nl/ODataApi/OData/82577ENG	1856	34
4868	4868	84428ENG	Jobs of employees; international ultimate control trade in goods, 2010-2016	https://opendata.cbs.nl/ODataApi/OData/84428ENG	80864	7
4869	4869	37462eng	Vacancies; government and education 1992-2009	https://opendata.cbs.nl/ODataApi/OData/37462eng	774	8
4870	4870	37756eng	Vacancies; SIC`93, private firms, 1997-2009	https://opendata.cbs.nl/ODataApi/OData/37756eng	1680	8
4871	4871	37518eng	Vacancies; SIC`93; private firms and government sectors, 1997-2009	https://opendata.cbs.nl/ODataApi/OData/37518eng	3835	8
4872	4872	83816ENG	Jobs of employees; ultimate control, international trade in goods 2008-2015	https://opendata.cbs.nl/ODataApi/OData/83816ENG	92416	6
4873	4873	81108eng	Labour Accounts; employment, economic activity, sex; 1969-2012	https://opendata.cbs.nl/ODataApi/OData/81108eng	38808	8
4874	4874	81095eng	Labour Accounts; employment, quarterly; 1995-q1 2014	https://opendata.cbs.nl/ODataApi/OData/81095eng	4320	9
4875	4875	70173eng	Monthly data labour force: unemployed and employed 2001 - May 2010	https://opendata.cbs.nl/ODataApi/OData/70173eng	3216	23
4876	4876	80718eng	Registered unemployment; 1952-2014 third quarter	https://opendata.cbs.nl/ODataApi/OData/80718eng	643	3
4877	4877	37914eng	Registered unemployment; Dec’88/Febr’89 - April 2010/Juni 2010	https://opendata.cbs.nl/ODataApi/OData/37914eng	279	34
4878	4878	37948eng	Registered unemployment; January 1952 - April 2010/June 2010	https://opendata.cbs.nl/ODataApi/OData/37948eng	701	3
4879	4879	80719eng	Registered unemployment 2001-2014 third quarter	https://opendata.cbs.nl/ODataApi/OData/80719eng	68	31
4880	4880	70066eng	Average periods school-leavers to find job by level of education	https://opendata.cbs.nl/ODataApi/OData/70066eng	11	20
4881	4881	37840ENG	Labour force; history 1970 - 2006	https://opendata.cbs.nl/ODataApi/OData/37840ENG	111	9
4882	4882	71822eng	Labour Force; level of education by personal characteristics 2001-2012	https://opendata.cbs.nl/ODataApi/OData/71822eng	313632	14
4883	4883	71958eng	Labour force; main figures by sex and other characteristics 1996-2014	https://opendata.cbs.nl/ODataApi/OData/71958eng	10260	81
4884	4884	71882eng	Labour force; 1800-2013 (12-hours threshold)	https://opendata.cbs.nl/ODataApi/OData/71882eng	10320	21
4885	4885	70085eng	Labour force according to the internat. def. broken down by sex, 2000-2006	https://opendata.cbs.nl/ODataApi/OData/70085eng	756	31
4886	4886	71855eng	Labour force according to the international definition 2000-2013	https://opendata.cbs.nl/ODataApi/OData/71855eng	1665	32
4887	4887	37940ENG	Working population by sex	https://opendata.cbs.nl/ODataApi/OData/37940ENG	1452	85
4888	4888	70640eng	Cao wages, contractual wage costs and working hours;(2000=100), 2000-2014	https://opendata.cbs.nl/ODataApi/OData/70640eng	76608	19
4889	4889	81096eng	Labour Accounts; compensation of employees, quarterly; 1995-q1 2014	https://opendata.cbs.nl/ODataApi/OData/81096eng	1440	15
4890	4890	81111eng	Labour Accounts; compensation of employees, economic activity; 1969-2012	https://opendata.cbs.nl/ODataApi/OData/81111eng	4312	23
4891	4891	81280ENG	Labour price index; index figures 2006=100, 2001-2013	https://opendata.cbs.nl/ODataApi/OData/81280ENG	1218	4
4892	4892	82679ENG	Labour price index; index figures 2010=100; National Accounts, 2001-2017	https://opendata.cbs.nl/ODataApi/OData/82679ENG	1488	7
4893	4893	70052eng	Personnel in six sectors of government	https://opendata.cbs.nl/ODataApi/OData/70052eng	99	9
4894	4894	37847eng	Benefit recipients by ethnic background 1999-2003	https://opendata.cbs.nl/ODataApi/OData/37847eng	4680	15
4895	4895	37638eng	Number of benefits WAO, Wajong and WAZ by month, 1998-2010	https://opendata.cbs.nl/ODataApi/OData/37638eng	8370	130
4896	4896	37527eng	Number of disablement benefits; inflow and outflow. 1998-2009.	https://opendata.cbs.nl/ODataApi/OData/37527eng	8424	20
4897	4897	03774eng	Unemployment benefits; amounts per month. 1998-2009.	https://opendata.cbs.nl/ODataApi/OData/03774eng	205	4
4898	4898	37740eng	Unemployment benefits; monthly inflow and outflow. 1998-2009.	https://opendata.cbs.nl/ODataApi/OData/37740eng	2826	9
4899	4899	37879eng	Unemployment benefits; numbers per year. 1998-2009.	https://opendata.cbs.nl/ODataApi/OData/37879eng	576	7
4900	4900	37506eng	Unemployment benefits per month by sex, age and region, 1998-2015	https://opendata.cbs.nl/ODataApi/OData/37506eng	3888	20
4901	4901	84998ENG	Listed monuments and historic buildings; (region 2020) 1965 - 2020	https://opendata.cbs.nl/ODataApi/OData/84998ENG	346080	4
4902	4902	84486ENG	Listed monuments and historic buildings; region 2018 2013-2018	https://opendata.cbs.nl/ODataApi/OData/84486ENG	31464	4
4903	4903	83970ENG	Listed monuments and historic buildings; region 2013 - 2017	https://opendata.cbs.nl/ODataApi/OData/83970ENG	26700	4
4904	4904	83721ENG	Listed monuments and historic buildings; region 2013 - 2016	https://opendata.cbs.nl/ODataApi/OData/83721ENG	25032	4
4905	4905	84775ENG	Listed monuments and historic buildings; (region 2019) 1965 - 2019	https://opendata.cbs.nl/ODataApi/OData/84775ENG	339900	4
4906	4906	7089eng	Museums; public access, collection, visits, costs and revenues 1993-2009	https://opendata.cbs.nl/ODataApi/OData/7089eng	10	59
4907	4907	7433eng	Museums; size, visits and personnel, per region and province 1995-2009	https://opendata.cbs.nl/ODataApi/OData/7433eng	128	22
4908	4908	7408eng	Museums; size, visits and personnel, per type of museum 1997-2009	https://opendata.cbs.nl/ODataApi/OData/7408eng	98	22
4909	4909	7083eng	Sports clubs and schools; members, operating costs and revenues 1987-2006	https://opendata.cbs.nl/ODataApi/OData/7083eng	165	11
4910	4910	7193eng	Sports facilities; types and use 1987 - 2012	https://opendata.cbs.nl/ODataApi/OData/7193eng	9	58
4911	4911	70025eng	Guest in overnight accommodation; by origin and tourist region '98-'10	https://opendata.cbs.nl/ODataApi/OData/70025eng	234	40
4912	4912	70024eng	Guest in overnight accommodations; by country of residence '98-'11	https://opendata.cbs.nl/ODataApi/OData/70024eng	5405	40
4913	4913	70021eng	Guests in leisure accommodations; by country of residence, region '98-'11	https://opendata.cbs.nl/ODataApi/OData/70021eng	5405	40
4914	4914	70666eng	Guests in leisure accommodation; by region, type of accommodation '98-'10	https://opendata.cbs.nl/ODataApi/OData/70666eng	884	9
4915	4915	70023eng	Guests in leisure accommodation type;by country of residence '00-'11	https://opendata.cbs.nl/ODataApi/OData/70023eng	804	40
4916	4916	70022eng	Guests in hotels; by country of residence and region '98-'11	https://opendata.cbs.nl/ODataApi/OData/70022eng	9400	125
4917	4917	7194eng	Overnight accommodation; capacity, nights by country of residence '77-'10	https://opendata.cbs.nl/ODataApi/OData/7194eng	34	47
4918	4918	70026eng	Overnight accommodation; capacity per region and type '00-'11	https://opendata.cbs.nl/ODataApi/OData/70026eng	13013	28
4919	4919	83466ENG	Tourism; key indicators, NA, 2010-2016	https://opendata.cbs.nl/ODataApi/OData/83466ENG	7	15
4920	4920	82670ENG	Tourism; key indicators, National Accounts 2010-2014	https://opendata.cbs.nl/ODataApi/OData/82670ENG	5	18
4921	4921	82303ENG	Tourism; contribution to the Dutch economy, key indicators 2005 - 2012	https://opendata.cbs.nl/ODataApi/OData/82303ENG	8	18
