jaar;nr;specialisme;diagnose;aantal_patienten
2022;62;0318;601;7607
2022;63;0301;705;7450
2022;64;0322;1103;7296
2022;65;0303;129;7122
2022;66;0303;323;6580
2022;67;1900;11;6568
2022;68;0322;1901;6550
2022;69;0313;324;6518
2022;70;0302;36;6390
2022;71;0303;270;6386
2022;72;0320;914;6318
2022;73;0302;55;6229
2022;74;0313;311;6224
2022;75;0301;607;6201
2022;76;0310;13;6178
2022;77;0310;27;6171
2022;78;0303;170;6092
2022;79;0307;F21;6061
2022;80;0303;428;5996
2022;81;0310;05;5974
2022;82;0320;101;5930
2022;83;0318;205;5843
2022;84;0301;103;5841
2022;85;0330;0701;5813
2022;86;0301;707;5799
2022;87;0302;35;5764
2022;88;0330;0501;5757
2022;89;0330;0801;5743
2022;90;0310;04;5720
2022;91;0310;03;5633
2022;92;0305;1805;5618
2022;93;0301;404;5603
2022;94;0305;1450;5496
2022;95;0320;403;5490
2022;96;0320;402;5471
2022;97;0313;283;5465
2022;98;0301;155;5429
2022;99;0313;325;5407
2022;100;0307;F11;5376
